"borrowing_record_id"	"book_id"	"borrowing_time"	"return_time"	"borrowing_by"	"status"	"manager_by"	"create_by"	"create_time"	"update_by"	"update_time"
"1"	"1"	"30/7/2024 17:04:24"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"30/7/2024 17:04:24"	"1"	"31/7/2024 17:16:04"
"2"	"1"	"31/7/2024 15:09:45"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"31/7/2024 15:09:45"	"1"	"31/7/2024 17:16:04"
"3"	"1"	"31/7/2024 15:17:00"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"31/7/2024 15:17:00"	"1"	"31/7/2024 17:16:04"
"4"	"1"	"31/7/2024 15:17:09"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"31/7/2024 15:17:09"	"1"	"31/7/2024 17:16:04"
"5"	"1"	"31/7/2024 15:18:38"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"31/7/2024 15:18:38"	"1"	"31/7/2024 17:16:04"
"6"	"1"	"31/7/2024 15:19:51"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"31/7/2024 15:19:51"	"1"	"31/7/2024 17:16:04"
"7"	"2"	"31/7/2024 15:20:05"	"31/7/2024 15:40:40"	"1"	"1"		"1"	"31/7/2024 15:20:05"	"1"	"31/7/2024 15:40:40"
"8"	"2"	"31/7/2024 15:20:11"	"31/7/2024 15:40:40"	"1"	"1"		"1"	"31/7/2024 15:20:11"	"1"	"31/7/2024 15:40:40"
"9"	"2"	"31/7/2024 15:20:43"	"31/7/2024 15:40:40"	"1"	"1"		"1"	"31/7/2024 15:20:43"	"1"	"31/7/2024 15:40:40"
"10"	"2"	"31/7/2024 15:20:50"	"31/7/2024 15:40:40"	"1"	"1"		"1"	"31/7/2024 15:20:50"	"1"	"31/7/2024 15:40:40"
"11"	"2"	"31/7/2024 15:20:56"	"31/7/2024 15:40:40"	"1"	"1"		"1"	"31/7/2024 15:20:56"	"1"	"31/7/2024 15:40:40"
"12"	"1"	"31/7/2024 17:03:37"	"31/7/2024 17:16:04"	"1"	"1"		"1"	"31/7/2024 17:03:37"	"1"	"31/7/2024 17:16:04"
"13"	"1"	"31/7/2024 17:18:35"	"31/7/2024 17:18:39"	"1"	"1"		"1"	"31/7/2024 17:18:35"	"1"	"31/7/2024 17:18:39"
"14"	"1"	"31/7/2024 17:18:51"	"2/8/2024 15:26:37"	"1"	"1"		"1"	"31/7/2024 17:18:51"	"1"	"2/8/2024 15:26:37"
"15"	"1"	"2/8/2024 15:15:34"	"2/8/2024 15:26:37"	"1"	"1"		"1"	"2/8/2024 15:15:34"	"1"	"2/8/2024 15:26:37"
"16"	"2"	"2/8/2024 15:26:54"	"7/8/2024 15:41:05"	"6"	"1"		"1"	"2/8/2024 15:26:54"	"1"	"7/8/2024 15:41:05"
"17"	"1"	"2/8/2024 15:28:30"	"7/8/2024 16:09:13"	"6"	"1"		"1"	"2/8/2024 15:28:30"	"1"	"7/8/2024 16:09:14"
"18"	"1"	"7/8/2024 16:10:23"	"7/8/2024 16:10:26"	"6"	"1"		"1"	"7/8/2024 16:10:23"	"1"	"7/8/2024 16:10:26"
"19"	"1"	"7/8/2024 16:11:18"	"7/8/2024 16:11:21"	"1"	"1"		"1"	"7/8/2024 16:11:18"	"1"	"7/8/2024 16:11:21"
"20"	"1"	"7/8/2024 16:11:51"	"7/8/2024 16:11:53"	"1"	"1"		"1"	"7/8/2024 16:11:51"	"1"	"7/8/2024 16:11:53"
"21"	"1"	"7/8/2024 16:12:04"	"7/8/2024 16:12:10"	"1"	"1"		"1"	"7/8/2024 16:12:04"	"1"	"7/8/2024 16:12:10"
"22"	"2"	"7/8/2024 16:12:16"	"7/8/2024 16:12:18"	"6"	"1"		"1"	"7/8/2024 16:12:16"	"1"	"7/8/2024 16:12:18"
"23"	"3"	"5/9/2024 18:20:29"	"5/9/2024 18:23:38"	"1"	"1"		"1"	"5/9/2024 18:20:29"	"1"	"5/9/2024 18:23:38"
"24"	"1"	"5/9/2024 18:24:46"	"5/9/2024 18:24:48"	"1"	"1"		"1"	"5/9/2024 18:24:46"	"1"	"5/9/2024 18:24:48"
"25"	"1"	"6/9/2024 09:47:49"		"6"	"0"		"1"	"6/9/2024 09:47:49"		
"26"	"2"	"24/12/2024 17:52:39"		"6"	"0"		"1"	"24/12/2024 17:52:39"		
